2024-11-10 01:55:04,682 INFO    MainThread:3760 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
config: {'ModelName': 'mlp-prefix-t5-small-SGD', 'ExpName': 'mlp-prefix-t5-small-schema-L5', 'VerName': 'pt-t5-small-schema-L5-1', 'WandbProject': 'bbyrne-nlg', 'Note': 'prefix t5-small for SGD, using schema guided SR', 'TokenizerInfo': {'tokenizer_class': 'T5TokenizerFast', 'tokenizer_name': 't5-small', 'tokenizer_alias': 'T5TokenizerFast'}, 'LightningModuleName': 'PrefixT5GenerationModel', 'LightningModuleParas': {'model_class': 'PT_T5Model', 'model_path': 'new', 'optimizer': 'AdamW', 'optimizer_params': {'lr': 0.0001}, 'prefix_length': 5, 'hidden_dims': [512, 384]}, 'LightningDataModuleName': 'GEMSGD_DataModule', 'LightningDataModuleParas': {'batch_size': 8, 'tokenizer_name': 'T5TokenizerFast', 'force_process': False, 'save_cache': True, 'encode_args': {'padding': 'max_length', 'truncation': True}, 'linearizer_class': 'SGD_SchemaGuidedLinearizer', 'schema_paths': ['data/schemas/schema-train.json', 'data/schemas/schema-test.json', 'data/schemas/schema-dev.json'], 'template_dir': 'data/utterance_templates'}, 'TrainerParas': {'max_epochs': 5, 'val_check_interval': 10000, 'accelerator': 'gpu', 'devices': 1, 'default_root_dir': 'models/mlp-prefix-t5-small-SGD'}, 'ModelCheckpointParas': {'monitor': 'val_loss'}, 'TrainLoggerName': 'WandbLogger', 'TrainLoggerParas': {'project': 'bbyrne-nlg', 'name': 'mlp-prefix-t5-small-schema-L5', 'version': 'pt-t5-small-schema-L5-1'}, 'TestLoggerName': 'CSVLogger', 'TestLoggerParas': {'name': 'mlp-prefix-t5-small-schema-L5', 'version': 'pt-t5-small-schema-L5-1'}, 'LoadingParas': {'checkpoint_path': 'bbyrne-nlg/pt-t5-small-schema-L5-1/checkpoints/epoch=4-step=102491.ckpt', 'save_decode': True, 'decode_path': 'logs/mlp-prefix-t5-small-schema-L5/test-pt-t5-schema-L5', 'generate_params': {'max_new_tokens': 200, 'num_beams': 4, 'length_penalty': 0.6, 'early_stopping': True, 'bos_token_id': 0}}}
2024-11-10 01:55:04,684 INFO    MainThread:3760 [wandb_init.py:init():669] starting backend
2024-11-10 01:55:04,684 INFO    MainThread:3760 [wandb_init.py:init():673] sending inform_init request
2024-11-10 01:55:04,687 INFO    MainThread:3760 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-10 01:55:04,687 INFO    MainThread:3760 [wandb_init.py:init():686] backend started and connected
2024-11-10 01:55:04,693 INFO    MainThread:3760 [wandb_init.py:init():781] updated telemetry
2024-11-10 01:55:04,702 INFO    MainThread:3760 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-10 01:55:05,518 INFO    MainThread:3760 [wandb_init.py:init():859] run resumed
2024-11-10 01:55:05,549 INFO    MainThread:3760 [wandb_init.py:init():867] starting run threads in backend
2024-11-10 01:55:05,790 INFO    MainThread:3760 [wandb_run.py:_console_start():2451] atexit reg
2024-11-10 01:55:05,791 INFO    MainThread:3760 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-10 01:55:05,791 INFO    MainThread:3760 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-10 01:55:05,791 INFO    MainThread:3760 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-10 01:55:05,795 INFO    MainThread:3760 [wandb_init.py:init():911] run started, returning control to user process
2024-11-10 01:55:06,270 INFO    MainThread:3760 [wandb_run.py:_config_callback():1389] config_cb None None {'model_class': 'PT_T5Model', 'model_path': 'new', 'tokenizer': None, 'optimizer': 'AdamW', 'optimizer_params': {'lr': 0.0001}, 'decode_path': 'default_test/', 'save_decode': False, 'generate_params': None, 'prefix_model_name': 'MLPPrefixModel', 't5_model_name': 't5-small', 'prefix_length': 5, 'hidden_dims': [512, 384], 'activation_fn_name': 'Tanh', 'prefix_dropout': 0.0}
2024-11-10 01:55:06,805 WARNING MsgRouterThr:3760 [router.py:message_loop():75] message_loop has been closed
